date,open_btc,high_btc,low_btc,close_btc,volume_btc,%var_btc,open_sp,high_sp,low_sp,close_sp,volume_sp,%var_sp,close_gd,open_gd,high_gd,low_gd,volume_gd,%var_gd
2011-01-28,0.42104254,0.48213312,0.40628473,0.44584833,5338,5.89,1299.63,1302.67,1275.1,1276.34,5618630000,-1.79,1.3417,1.3149,1.348,1.3091,25101000,1.77
2011-01-31,0.47202438,0.54499373,0.43137697,0.51760136,64086,9.66,1276.5,1287.17,1276.5,1286.12,4167160000,0.75,1.3345,1.3388,1.3472,1.3236,15613000,-0.54
2011-02-01,0.51766005,0.71794394,0.51766005,0.69261156,31609,33.8,1289.14,1308.86,1289.14,1307.59,5164500000,1.43,1.3403,1.334,1.3441,1.326,14659000,0.43
2011-02-02,0.69284926,0.88378975,0.66981005,0.79806552,5600,15.19,1305.91,1307.61,1302.62,1304.03,4098260000,-0.14,1.3321,1.3435,1.3456,1.3273,10974000,-0.61
2011-02-03,0.79698998,0.82733492,0.6504046,0.72622888,8520,-8.88,1302.77,1308.6,1294.83,1307.1,4370990000,0.33,1.353,1.336,1.3566,1.3254,18923000,1.57
2011-02-04,0.72606859,0.83729487,0.6480998,0.80887019,42195,11.4,1307.01,1311.0,1301.67,1310.87,3925950000,0.3,1.349,1.3564,1.361,1.3455,14118000,-0.3
2011-02-07,0.90880875,0.92503245,0.72274644,0.90499749,2267,-0.42,1311.85,1322.85,1311.85,1319.05,3902270000,0.55,1.3482,1.3481,1.3545,1.3441,7909000,-0.06
2011-02-08,0.90339333,0.94611401,0.76383705,0.91613737,7011,1.41,1318.76,1324.87,1316.03,1324.57,3881530000,0.44,1.3641,1.3529,1.3687,1.3489,13535000,1.18
2011-02-09,0.91583113,1.07046245,0.82107582,1.002957,49702,9.51,1322.48,1324.54,1314.89,1320.88,3922240000,-0.12,1.3655,1.3638,1.3677,1.3583,10918000,0.1
2011-02-10,1.00040517,1.02795032,0.82008582,0.98009726,26567,-2.03,1318.13,1322.78,1311.74,1321.87,4184610000,0.28,1.3625,1.3642,1.3668,1.3514,12057000,-0.22
2011-02-11,0.9799584,1.10954663,0.84364295,1.0754629,13334,9.75,1318.66,1330.79,1316.08,1329.15,4219300000,0.8,1.3604,1.364,1.3697,1.3543,12813000,-0.15
2011-02-14,1.05401313,1.22978008,0.98739517,1.07990111,7092,2.46,1328.73,1332.96,1326.9,1332.32,3567040000,0.27,1.3651,1.3582,1.3675,1.3544,10241000,0.35
2011-02-15,1.0783135,1.11972947,0.892204,1.0705929,8605,-0.72,1330.43,1330.43,1324.61,1328.01,3926860000,-0.18,1.3741,1.3621,1.3775,1.3613,11111000,0.66
2011-02-16,1.07064245,1.14314212,0.90123929,1.06328791,7173,-0.69,1329.51,1337.61,1329.51,1336.32,1966450000,0.51,1.3751,1.3743,1.3827,1.3683,13359000,0.07
2011-02-17,1.06373113,1.27702966,1.01031423,1.04889086,4002,-1.4,1334.37,1341.5,1331.0,1340.43,1966450000,0.45,1.3851,1.3765,1.3858,1.3746,9740000,0.73
2011-02-18,1.04876347,1.05901456,0.85649064,0.91280633,36776,-12.96,1340.38,1344.07,1338.12,1343.01,1162310000,0.2,1.3886,1.3854,1.3926,1.382,11356000,0.25
2011-02-23,0.87632091,0.9181206,0.75515674,0.89467964,6725,2.09,1315.44,1317.91,1299.55,1307.4,1330340000,-0.61,1.414,1.3994,1.4173,1.396,15379000,0.92
2011-02-24,0.89505895,1.05800171,0.89062865,0.98525286,13436,10.08,1307.09,1310.91,1294.26,1306.1,1222900000,-0.08,1.4158,1.4121,1.4188,1.3922,18739000,0.13
2011-02-25,0.98884074,1.16599856,0.9204389,0.95818906,4458,-3.1,1307.34,1320.61,1307.34,1319.88,3836030000,0.96,1.4093,1.4019,1.4124,1.4001,12051000,-0.46
2011-02-28,0.90891282,0.94404775,0.72321445,0.86783564,4646,-4.52,1321.61,1329.38,1320.55,1327.22,1252850000,0.42,1.4099,1.4112,1.417,1.4052,11532000,0.04
2011-03-01,0.86738661,0.99438223,0.7890518,0.94018803,22603,8.39,1328.64,1332.09,1306.14,1306.33,1180420000,-1.68,1.4312,1.4116,1.4356,1.4098,16954000,1.51
2011-03-02,0.94020426,1.01486764,0.79918279,0.9418121,2752,0.17,1305.47,1314.19,1302.58,1308.44,1025000000,0.23,1.4377,1.4349,1.441,1.4282,16058000,0.45
2011-03-03,0.94170505,0.98549829,0.85167162,0.94838646,2747,0.71,1312.37,1332.28,1312.37,1330.97,4340470000,1.42,1.4164,1.4365,1.4369,1.4106,20280000,-1.48
2011-03-04,0.94832853,1.00698372,0.86391987,0.90370078,2718,-4.71,1330.73,1331.08,1312.59,1321.15,4223740000,-0.72,1.4286,1.4157,1.434,1.4138,14135000,0.86
2011-03-07,0.91472888,1.04539019,0.81089811,0.88761459,15284,-2.96,1322.72,1327.68,1303.99,1310.13,3964730000,-0.95,1.4345,1.435,1.4457,1.4283,17066000,0.41
2011-03-08,0.88752454,0.97493366,0.78149505,0.88751374,4534,-0.0,1311.05,1325.74,1306.86,1321.82,4531420000,0.82,1.4272,1.4323,1.4372,1.4236,12991000,-0.51
2011-03-09,0.88708104,0.91112451,0.7421267,0.89032887,4537,0.37,1319.92,1323.21,1312.27,1320.02,3709520000,0.01,1.4296,1.4297,1.4368,1.4232,12601000,0.17
2011-03-10,0.89040084,1.06243817,0.83382696,0.93085362,8836,4.54,1315.72,1315.72,1294.21,1295.11,4723020000,-1.57,1.4125,1.4311,1.4318,1.403,20414000,-1.2
2011-03-11,0.93113047,1.10310669,0.86120265,0.88280114,3736,-5.19,1293.43,1308.35,1291.99,1304.28,3740400000,0.84,1.4218,1.4118,1.4246,1.4048,17158000,0.66
2011-03-14,0.91457115,0.99477553,0.83727738,0.90652589,5273,-0.88,1301.19,1301.19,1286.37,1296.39,4050370000,-0.37,1.4249,1.4219,1.4335,1.4182,10716000,0.22
2011-03-15,0.90648269,0.96205689,0.75670895,0.89949294,2733,-0.77,1288.46,1288.46,1261.12,1281.87,5201400000,-0.51,1.3928,1.4289,1.429,1.3807,24809000,-2.25
2011-03-16,0.89924127,0.91300281,0.7340479,0.88046151,7910,-2.09,1279.46,1280.91,1249.05,1256.88,5833000000,-1.76,1.3961,1.3948,1.4066,1.3923,15189000,0.24
2011-03-17,0.88048417,0.94791456,0.81913318,0.86967185,7140,-1.23,1261.61,1278.88,1261.61,1273.72,4134950000,0.96,1.4042,1.4,1.4054,1.3868,10918000,0.58
2011-03-18,0.86968399,0.93395076,0.80680377,0.86624928,14231,-0.39,1276.71,1288.88,1276.18,1279.21,4685500000,0.2,1.4161,1.4049,1.4241,1.4022,13587000,0.85
2011-03-21,0.81061723,1.01259573,0.762962,0.77856454,3709,-3.95,1281.65,1300.58,1281.65,1298.38,4223730000,1.31,1.4264,1.4242,1.4351,1.4235,12978000,0.73
